idsubsls_261,kdprov,nmprov,kdkab,nmkab,kdkec,nmkec,kddesa,nmdesa,nmsls,kk,btt,bttk,bku,bbtt_nonusaha,usaha,idsls
5104010001000800,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARPAGUTANKELOD,0,0,0,0,0,0,51040100010008
5104010001000901,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARPEGAMBANGAN,0,0,0,0,0,0,51040100010009
5104010001000902,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARPEGAMBANGAN,0,0,0,0,0,0,51040100010009
5104010001000903,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARPEGAMBANGAN,0,0,0,0,0,0,51040100010009
5104010001000904,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARPEGAMBANGAN,0,0,0,0,0,0,51040100010009
5104010001000905,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARPEGAMBANGAN,0,0,0,0,0,0,51040100010009
5104010001000906,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARPEGAMBANGAN,0,0,0,0,0,2,51040100010009
5104010001000907,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARPEGAMBANGAN,0,0,0,0,0,0,51040100010009
5104010001000908,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARPEGAMBANGAN,0,0,0,0,0,0,51040100010009
5104010001000909,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARPEGAMBANGAN,0,0,0,0,0,2,51040100010009
5104010001000910,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARPEGAMBANGAN,0,0,0,0,0,0,51040100010009
5104010001001001,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARPENGEMBUNGAN,0,0,0,0,0,0,51040100010010
5104010001001002,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARPENGEMBUNGAN,0,0,0,0,0,0,51040100010010
5104010001001101,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARSASIH,0,0,0,0,0,0,51040100010011
5104010001001102,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARSASIH,0,0,0,0,0,0,51040100010011
5104010001001103,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARSASIH,0,0,0,0,0,0,51040100010011
5104010001001104,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARSASIH,0,0,0,0,0,0,51040100010011
5104010001001105,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARSASIH,0,0,0,0,0,1,51040100010011
5104010001001106,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARSASIH,0,0,0,0,0,0,51040100010011
5104010001001107,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARSASIH,0,0,0,0,0,2,51040100010011
5104010001001108,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARSASIH,0,0,0,0,0,0,51040100010011
5104010001001109,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARSASIH,0,0,0,0,0,1,51040100010011
5104010001001110,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARSASIH,0,0,0,0,0,0,51040100010011
5104010001001111,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARSASIH,0,0,0,0,0,0,51040100010011
5104010001001112,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARSASIH,0,0,0,0,0,0,51040100010011
5104010001001113,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARSASIH,0,0,0,0,0,0,51040100010011
5104010001001114,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARSASIH,0,0,0,0,0,2,51040100010011
5104010001001115,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARSASIH,0,0,0,0,0,1,51040100010011
5104010001001116,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARSASIH,0,0,0,0,0,0,51040100010011
5104010001001117,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARSASIH,0,0,0,0,0,0,51040100010011
5104010001001118,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARSASIH,0,0,0,0,0,0,51040100010011
5104010001001119,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARSASIH,0,0,0,0,0,0,51040100010011
5104010001001200,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGALJAYA,0,0,0,0,0,0,51040100010012
5104010001001301,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGALTAMU,0,0,0,0,0,0,51040100010013
5104010001001302,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGALTAMU,0,0,0,0,0,0,51040100010013
5104010001001303,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGALTAMU,0,0,0,0,0,0,51040100010013
5104010001001304,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGALTAMU,0,0,0,0,0,0,51040100010013
5104010001001401,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGEHE,0,0,0,0,0,0,51040100010014
5104010001001402,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGEHE,0,0,0,0,0,0,51040100010014
5104010001001403,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGEHE,0,0,0,0,0,0,51040100010014
5104010001001404,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGEHE,0,0,0,0,0,0,51040100010014
5104010001001405,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGEHE,0,0,0,0,0,0,51040100010014
5104010001001406,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGEHE,0,0,0,0,0,0,51040100010014
5104010001001407,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGEHE,0,0,0,0,0,0,51040100010014
5104010001001408,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGEHE,0,0,0,0,0,0,51040100010014
5104010001001409,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGEHE,0,0,0,0,0,0,51040100010014
5104010001001410,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGEHE,0,0,0,0,0,0,51040100010014
5104010001001411,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGEHE,0,0,0,0,0,0,51040100010014
5104010001001412,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGEHE,0,0,0,0,0,0,51040100010014
5104010001001413,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGEHE,0,0,0,0,0,0,51040100010014
5104010001001414,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGEHE,0,0,0,0,0,0,51040100010014
5104010001001415,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGEHE,0,0,0,0,0,0,51040100010014
5104010001001416,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGEHE,0,0,0,0,0,0,51040100010014
5104010001001417,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGEHE,0,0,0,0,0,0,51040100010014
5104010001001418,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGEHE,0,0,0,0,0,0,51040100010014
5104010001001419,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGEHE,0,0,0,0,0,0,51040100010014
5104010001001420,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGEHE,0,0,0,0,0,0,51040100010014
5104010001001421,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGEHE,0,0,0,0,0,0,51040100010014
5104010001001422,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGEHE,0,0,0,0,0,0,51040100010014
5104010001001423,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGEHE,0,0,0,0,0,0,51040100010014
5104010001001424,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGEHE,0,0,0,0,0,0,51040100010014
5104010001001425,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGEHE,0,0,0,0,0,0,51040100010014
5104010001001426,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGEHE,0,0,0,0,0,0,51040100010014
5104010001001427,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGEHE,0,0,0,0,0,0,51040100010014
5104010001001428,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGEHE,0,0,0,0,0,0,51040100010014
5104010001001429,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGEHE,0,0,0,0,0,0,51040100010014
5104010001001430,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGEHE,0,0,0,0,0,0,51040100010014
5104010001001431,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGEHE,0,0,0,0,0,0,51040100010014
5104010001001432,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGEHE,0,0,0,0,0,0,51040100010014
5104010001001433,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGEHE,0,0,0,0,0,0,51040100010014
5104010001001434,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGEHE,0,0,0,0,0,0,51040100010014
5104010001001435,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGEHE,0,0,0,0,0,1,51040100010014
5104010001001436,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGEHE,0,0,0,0,0,0,51040100010014
5104010001001437,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGEHE,0,0,0,0,0,0,51040100010014
5104010001001438,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGEHE,0,0,0,0,0,0,51040100010014
5104010001001439,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTEGEHE,0,0,0,0,0,0,51040100010014
5104010001001500,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTELABAH,0,0,0,0,0,0,51040100010015
5104010001001601,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTUBUH,0,0,0,0,0,0,51040100010016
5104010001001602,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTUBUH,0,0,0,0,0,0,51040100010016
5104010001001603,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTUBUH,0,0,0,0,0,0,51040100010016
5104010001001604,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTUBUH,0,0,0,0,0,0,51040100010016
5104010001001605,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTUBUH,0,0,0,0,0,0,51040100010016
5104010001001606,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTUBUH,0,0,0,0,0,0,51040100010016
5104010001001607,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTUBUH,0,0,0,0,0,0,51040100010016
5104010001001608,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTUBUH,0,0,0,0,0,0,51040100010016
5104010001001609,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTUBUH,0,0,0,0,0,0,51040100010016
5104010001001610,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTUBUH,0,0,0,0,0,0,51040100010016
